Image_Index,Gender,Hair_Color,Hair_Type
0,female,brown,straight
1,female,brown,n/a
4,female,n/a,n/a
5,female,brown,wavy
6,male,black,straight
7,male,black,n/a
9,female,n/a,wavy
10,female,black,n/a
11,male,black,straight
14,male,n/a,straight
18,female,blond,wavy
19,male,black,n/a
20,male,gray,straight
24,male,n/a,n/a
25,female,n/a,straight
26,female,black,wavy
27,female,brown,wavy
28,female,blond,wavy
29,male,n/a,wavy
31,male,brown,straight
32,male,brown,straight
33,female,brown,wavy
34,female,black,wavy
35,male,black,straight
36,male,n/a,n/a
37,male,n/a,n/a
38,female,brown,wavy
39,female,black,n/a
41,female,brown,n/a
42,female,brown,wavy
43,female,black,n/a
44,female,brown,wavy
45,female,black,wavy
46,female,black,straight
47,male,n/a,n/a
48,male,black,n/a
49,male,black,n/a
50,male,gray,bald
53,female,blond,wavy
55,male,black,straight
56,female,black,n/a
57,female,n/a,wavy
60,male,n/a,n/a
61,female,n/a,n/a
63,male,brown,straight
64,male,black,straight
65,female,n/a,n/a
67,male,n/a,n/a
69,male,black,straight
70,female,blond,straight
72,female,brown,wavy
75,male,black,n/a
76,female,n/a,wavy
77,female,black,n/a
78,male,bald,bald
79,male,black,n/a
80,male,black,n/a
81,male,n/a,n/a
82,female,brown,wavy
83,female,n/a,wavy
86,female,n/a,n/a
87,female,brown,wavy
88,female,n/a,wavy
89,male,brown,straight
90,male,black,straight
91,female,blond,n/a
95,female,n/a,wavy
96,female,brown,wavy
97,female,black,wavy
98,female,brown,wavy
99,female,blond,n/a
100,female,black,n/a
102,female,brown,n/a
103,male,n/a,n/a
104,male,n/a,straight
105,female,n/a,n/a
106,female,brown,wavy
108,male,n/a,straight
111,female,blond,wavy
112,male,n/a,n/a
113,male,black,straight
114,male,bald,bald
115,male,brown,straight
116,female,black,wavy
118,male,n/a,wavy
120,female,n/a,straight
122,male,black,n/a
124,male,gray,bald
125,female,blond,n/a
126,male,gray,straight
128,male,black,n/a
129,male,n/a,n/a
132,female,blond,n/a
133,male,bald,bald
135,male,brown,wavy
138,female,n/a,wavy
139,female,blond,n/a
140,female,blond,n/a
143,male,black,wavy
144,female,black,wavy
146,female,blond,n/a
147,female,black,straight
151,male,blond,straight
